,qid,docid,docno,rank,score,query,name
0,1,1,d1,0,13.87172718808609,aboard an airship,Super Mario Odyssey
1,1,96,d96,1,4.9080444868635995,aboard an airship,Little Noah: Scion of Paradise
0,1,1,d1,0,8.218838024059977,aboard an airship,Super Mario Odyssey
1,1,96,d96,1,2.8651663148320643,aboard an airship,Little Noah: Scion of Paradise
0,1,1,d1,0,7.613878583786235,aboard an airship,Super Mario Odyssey
1,1,96,d96,1,2.545820537855214,aboard an airship,Little Noah: Scion of Paradise
0,1,1,d1,0,12.057245350859011,aboard an airship,Super Mario Odyssey
1,1,96,d96,1,3.748149697052994,aboard an airship,Little Noah: Scion of Paradise
