,qid,docid,docno,rank,score,query,name
0,1,4,d4,0,6.960273649662168,most popular,Tetris Effect: Connected
1,1,39,d39,1,4.3778880912256595,most popular,NieR: Automata - The End of YoRHa Edition
0,1,4,d4,0,4.063194956036163,most popular,Tetris Effect: Connected
1,1,39,d39,1,2.555677219849291,most popular,NieR: Automata - The End of YoRHa Edition
0,1,4,d4,0,3.842921116959747,most popular,Tetris Effect: Connected
1,1,39,d39,1,2.235820823317542,most popular,NieR: Automata - The End of YoRHa Edition
0,1,4,d4,0,5.120355967138209,most popular,Tetris Effect: Connected
1,1,39,d39,1,3.38825811188285,most popular,NieR: Automata - The End of YoRHa Edition
