,qid,docid,docno,rank,score,query,name
0,1,1,d1,0,6.204839191739989,unknown worlds,Super Mario Odyssey
1,1,48,d48,1,4.966814252144319,unknown worlds,Dicey Dungeons
2,1,99,d99,2,4.317648147750334,unknown worlds,Firewatch
3,1,20,d20,3,3.850255178151541,unknown worlds,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition
4,1,15,d15,4,0.8539508722555536,unknown worlds,OneShot: World Machine Edition
5,1,94,d94,5,0.7914693731227626,unknown worlds,Owlboy
6,1,19,d19,6,0.7275201234504809,unknown worlds,Retro City Rampage DX
7,1,91,d91,7,0.7275065229945256,unknown worlds,OlliOlli World
8,1,12,d12,8,0.7147198881565275,unknown worlds,A Monster's Expedition
9,1,32,d32,9,0.7147198881565275,unknown worlds,Chicory: A Colorful Tale
10,1,89,d89,10,0.7023369365605823,unknown worlds,Severed
11,1,54,d54,11,0.693377110102345,unknown worlds,Fez
12,1,36,d36,12,0.68166887153813,unknown worlds,Super Mario 3D World + Bowser's Fury
13,1,67,d67,13,0.6788151748412242,unknown worlds,Cave Story +
14,1,35,d35,14,0.6595339646732075,unknown worlds,Into the Breach
15,1,39,d39,15,0.652398767773439,unknown worlds,NieR: Automata - The End of YoRHa Edition
16,1,41,d41,16,0.6489753206885782,unknown worlds,Mark of the Ninja: Remastered
17,1,90,d90,17,0.6121823116523295,unknown worlds,Axiom Verge
18,1,51,d51,18,0.5821336326269121,unknown worlds,Tunic
19,1,40,d40,19,0.5794063618662032,unknown worlds,Okami HD
20,1,0,d0,20,0.5698585667665297,unknown worlds,The Legend of Zelda: Breath of the Wild
21,1,50,d50,21,0.5336420095924255,unknown worlds,Hyper Light Drifter
22,1,28,d28,22,0.5267083421634987,unknown worlds,Florence
23,1,73,d73,23,0.5133678557823217,unknown worlds,Cuphead
