,qid,docid,docno,rank,score,query,name
14,1,3,d3,14,1.6701299460314718,many environments and dangerous world,Portal Companion Collection
15,1,6,d6,15,1.4786915672928387,many environments and dangerous world,Hades
16,1,15,d15,16,1.440778204831936,many environments and dangerous world,OneShot: World Machine Edition
17,1,1,d1,17,1.3619939954744156,many environments and dangerous world,Super Mario Odyssey
18,1,94,d94,18,1.3526214774200516,many environments and dangerous world,Owlboy
19,1,91,d91,19,1.267387036004494,many environments and dangerous world,OlliOlli World
20,1,19,d19,20,1.2590377687971126,many environments and dangerous world,Retro City Rampage DX
21,1,12,d12,21,1.2331310774367215,many environments and dangerous world,A Monster's Expedition
22,1,32,d32,22,1.2331310774367215,many environments and dangerous world,Chicory: A Colorful Tale
23,1,54,d54,23,1.21799990688606,many environments and dangerous world,Fez
24,1,89,d89,24,1.2144723323245912,many environments and dangerous world,Severed
