,qid,docid,docno,rank,score,query,name
0,1,79,d79,0,7.644773760047651,Zelda,The Legend of Zelda: Link's Awakening
1,1,0,d0,1,5.374739877713723,Zelda,The Legend of Zelda: Breath of the Wild
0,1,79,d79,0,4.462785192845241,Zelda,The Legend of Zelda: Link's Awakening
1,1,0,d0,1,3.1376088154512156,Zelda,The Legend of Zelda: Breath of the Wild
0,1,79,d79,0,3.650126953995098,Zelda,The Legend of Zelda: Link's Awakening
1,1,0,d0,1,2.3750284559517674,Zelda,The Legend of Zelda: Breath of the Wild
0,1,79,d79,0,7.837743565339379,Zelda,The Legend of Zelda: Link's Awakening
1,1,0,d0,1,5.793188115931479,Zelda,The Legend of Zelda: Breath of the Wild
